domain,oldCategory,oldSubCategory,reason,reasonCode,appPresence,monthlyVisits,monthlyVisitsFormatted,trafficBand,techCount,region
sarvam.ai,AI & Data Science,General,Non-D2C category: AI & Data Science,non_d2c_category,No App,4209403,4.2M,1M-5M,,Global
tcs.com,Professional Services,IT Services,Known Non-D2C platform/tool (tcs.com),known_non_d2c,No App,4209362,4.2M,1M-5M,,Global
aiimsexams.ac.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (aiimsexams.ac.in),domain_tld,No App,4137794,4.1M,1M-5M,,India
iitk.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitk.ac.in),domain_tld,No App,4099052,4.1M,1M-5M,,India
iitm.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitm.ac.in),domain_tld,No App,3900625,3.9M,1M-5M,22,India
education.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (education.gov.in),domain_tld,No App,3440044,3.4M,1M-5M,,India
livechennai.com,International & Diplomatic Organizations,Embassies & Consulates,Non-D2C category: International & Diplomatic Organizations,non_d2c_category,No App,3429556,3.4M,1M-5M,21,India
du.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (du.ac.in),domain_tld,No App,3298752,3.3M,1M-5M,,India
tata.com,Aerospace & Defense,General,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,3289711,3.3M,2M+,,Global
iitd.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitd.ac.in),domain_tld,No App,3188900,3.2M,1M-5M,21,India
cybercrime.gov.in,Baby & Kids,Kids Furniture,Government/Academic/Non-Profit domain (cybercrime.gov.in),domain_tld,,3176694,3.2M,1M-5M,16,India
kpmg.com,Professional Services,Accounting & Tax,Known Non-D2C platform/tool (kpmg.com),known_non_d2c,No App,3143926,3.1M,1M-5M,25,Global
tickertape.in,Government & Public Sector,Defense & Military,Non-D2C category: Government & Public Sector,non_d2c_category,No App,3088686,3.1M,1M-5M,,India
myscheme.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (myscheme.gov.in),domain_tld,No App,3083536,3.1M,1M-5M,16,India
eurasiantimes.com,Aerospace & Defense,Missiles & Weapons Systems,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,2835280,2.8M,1M-5M,,Global
buddy4study.com,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,2756958,2.8M,1M-5M,52,India
tspolice.gov.in,Government & Public Sector,Municipal & Local,Government/Academic/Non-Profit domain (tspolice.gov.in),domain_tld,No App,2725441,2.7M,1M-5M,,India
casemine.com,AI & Data Science,Generative AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,2645557,2.6M,1M-5M,21,Global
govtjobsalert.in,Government & Public Sector,Judiciary & Courts,Non-D2C category: Government & Public Sector,non_d2c_category,No App,2635584,2.6M,1M-5M,33,India
pmkisan.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (pmkisan.gov.in),domain_tld,No App,2562846,2.6M,1M-5M,,India
indiacode.nic.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (indiacode.nic.in),domain_tld,No App,2526921,2.5M,1M-5M,,India
apcfss.in,Government & Public Sector,Municipal & Local,Non-D2C category: Government & Public Sector,non_d2c_category,No App,2522742,2.5M,1M-5M,22,India
wipro.com,Professional Services,IT Services,Known Non-D2C platform/tool (wipro.com),known_non_d2c,No App,2513147,2.5M,1M-5M,,Global
assamcareer.com,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,2511694,2.5M,1M-5M,38,India
indianvisaonline.gov.in,Government & Public Sector,Customs & Immigration,Government/Academic/Non-Profit domain (indianvisaonline.gov.in),domain_tld,No App,2408138,2.4M,1M-5M,,India
camsonline.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,2296180,2.3M,1M-5M,,Global
haryana.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (haryana.gov.in),domain_tld,No App,2291123,2.3M,1M-5M,,India
infosys.com,Professional Services,IT Services,Known Non-D2C platform/tool (infosys.com),known_non_d2c,No App,2286493,2.3M,1M-5M,,Global
unipune.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (unipune.ac.in),domain_tld,No App,2240094,2.2M,1M-5M,21,India
darwinbox.com,SaaS & B2B,HR & Payroll,Non-D2C category: SaaS & B2B,non_d2c_category,No App,2226821,2.2M,1M-5M,,Global
fssai.gov.in,News & Media,General,Government/Academic/Non-Profit domain (fssai.gov.in),domain_tld,No App,2212489,2.2M,1M-5M,,India
mha.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (mha.gov.in),domain_tld,No App,2206155,2.2M,1M-5M,,India
natboard.edu.in,Government & Public Sector,Judiciary & Courts,Government/Academic/Non-Profit domain (natboard.edu.in),domain_tld,No App,2174697,2.2M,1M-5M,11,India
unionbankofindia.bank.in,Government & Public Sector,Retail Banking,Non-D2C category: Government & Public Sector,non_d2c_category,No App,2048687,2M,1M-5M,,India
vmou.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (vmou.ac.in),domain_tld,No App,2034452,2M,1M-5M,18,India
architecturaldigest.in,Professional Services,Management Consulting,Non-D2C category: Professional Services,non_d2c_category,No App,1976568,2M,1M-5M,,India
iitkgp.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitkgp.ac.in),domain_tld,No App,1950869,2M,1M-5M,,India
bseh.org.in,EdTech,General,Government/Academic/Non-Profit domain (bseh.org.in),domain_tld,No App,1940805,1.9M,1M-5M,,India
education.qld.gov.au,EdTech,Special Education,Government/Academic/Non-Profit domain (education.qld.gov.au),domain_tld,No App,1818146,1.8M,1M-5M,,Australia
mpbse.nic.in,EdTech,Online Courses,Government/Academic/Non-Profit domain (mpbse.nic.in),domain_tld,No App,1810655,1.8M,1M-5M,13,India
aktu.ac.in,Government & Public Sector,University,Government/Academic/Non-Profit domain (aktu.ac.in),domain_tld,No App,1809805,1.8M,1M-5M,,India
masaischool.com,AI & Data Science,Generative AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,1809025,1.8M,1M-5M,,Global
